anzahl,stadtbezirke
1049,A Centrum
1459,A Centrum
1837,E West
1579,E West
3136,E West
2490,F Nieuw-West
2757,F Nieuw-West
2214,F Nieuw-West
2167,F Nieuw-West
1357,K Zuid
888,K Zuid
2500,K Zuid
2555,M Oost
2766,M Oost
1452,M Oost
2224,M Oost
2682,N Noord
1766,N Noord
2361,N Noord
7131,T Zuidoost
9067,T Zuidoost
9143,T Zuidoost
360,A Centrum
350,A Centrum
384,E West
338,E West
809,E West
430,F Nieuw-West
405,F Nieuw-West
246,F Nieuw-West
427,F Nieuw-West
424,K Zuid
266,K Zuid
625,K Zuid
363,M Oost
434,M Oost
390,M Oost
376,M Oost
430,N Noord
380,N Noord
408,N Noord
1353,T Zuidoost
1545,T Zuidoost
1430,T Zuidoost
436,A Centrum
534,A Centrum
766,E West
3862,E West
2935,E West
8962,F Nieuw-West
5224,F Nieuw-West
2194,F Nieuw-West
3725,F Nieuw-West
801,K Zuid
500,K Zuid
1227,K Zuid
1860,M Oost
2374,M Oost
530,M Oost
931,M Oost
2615,N Noord
948,N Noord
2536,N Noord
454,T Zuidoost
364,T Zuidoost
271,T Zuidoost
618,A Centrum
889,A Centrum
2523,E West
6591,E West
5014,E West
12165,F Nieuw-West
8875,F Nieuw-West
3076,F Nieuw-West
8435,F Nieuw-West
991,K Zuid
498,K Zuid
2689,K Zuid
3949,M Oost
5085,M Oost
1338,M Oost
2316,M Oost
3549,N Noord
2529,N Noord
3494,N Noord
733,T Zuidoost
655,T Zuidoost
674,T Zuidoost
4119,A Centrum
4413,A Centrum
4083,E West
3872,E West
7380,E West
5473,F Nieuw-West
4990,F Nieuw-West
2818,F Nieuw-West
5892,F Nieuw-West
4467,K Zuid
5042,K Zuid
6174,K Zuid
4075,M Oost
4483,M Oost
3678,M Oost
3699,M Oost
4766,N Noord
3887,N Noord
4873,N Noord
8013,T Zuidoost
8465,T Zuidoost
7051,T Zuidoost
12505,A Centrum
11326,A Centrum
7939,E West
5737,E West
15996,E West
5905,F Nieuw-West
5449,F Nieuw-West
4054,F Nieuw-West
7974,F Nieuw-West
14614,K Zuid
7128,K Zuid
14680,K Zuid
6502,M Oost
7144,M Oost
6809,M Oost
4712,M Oost
4331,N Noord
4122,N Noord
3843,N Noord
2850,T Zuidoost
3062,T Zuidoost
3834,T Zuidoost
